t,basic_wheel3x1.Struktur.w_a[1],basic_wheel3x1.Struktur.w_a[2],basic_wheel3x1.Struktur.w_a[3]
s,rad/s,rad/s,rad/s
0,0,0,0
0.03960801,0,0,0
0.06960801,0,0,0
0.09960801,0,0,0
0.12960801,0,0,0
0.15960801,0,0,0
0.18960801,0,0,0
0.21960801,0,0,0
0.24960801,0,0,0
0.27960801,0,0,0
0.32460801,0,0,0
0.35460801,0,0,0
0.38460801,0,0,0
0.42960801,0,0,0
0.45960801,0,0,0
0.48960801,0,0,0
0.51960801,0,0,0
0.54960801,0,0,0
0.59460801,0,0,0
0.62460801,0,0,0
0.65460801,0,0,0
0.69960801,0,0,0
0.72960801,0,0,0
0.75960801,0,0,0
0.78960801,0,0,0
0.83460801,0,0,0
0.86460801,0,0,0
0.89460801,0,0,0
0.92460801,0,0,0
0.96960801,0,0,0
0.99960801,0,0,0
1.02960801,0,0,0
1.05960801,0,0,0
1.08960801,0,0,0
1.13460801,0,0,0
1.16460801,0,0,0
1.19460801,0,0,0
1.22460801,0,0,0
1.26960801,0,0,0
1.29960801,0,0,0
1.32960801,0,0,0
1.37460801,0,0,0
1.40460801,0,0,0
1.43460801,0,0,0
1.46460801,0,0,0
1.50960801,0,0,0
1.53960801,0,0,0
1.56960801,0,0,0
1.61460801,0,0,0
1.64460801,0,0,0
1.67460801,0,0,0
1.70460801,0,0,0
1.74960801,0,0,0
1.77960801,0,0,0
1.80960801,0,0,0
1.83960801,0,0,0
1.88460801,0,0,0
1.91460801,0,0,0
1.94460801,0,0,0
1.98960801,0,0,0
2.01960801,0,0,0
2.04960801,0,0,0
2.07960801,0,0,0
2.10960801,0,0,0
2.13960801,0,0,0
2.16960801,0,0,0
2.19960801,0,0,0
2.22960801,0,0,0
2.25960801,0,0,0
2.28960801,0,0,0
2.31960801,0,0,0
2.34960801,0,0,0
2.37960801,0,0,0
2.40960801,0,0,0
2.43960801,0,0,0
2.46960801,0,0,0
2.49960801,0,0,0
2.52960801,0,0,0
2.55960801,0,0,0
2.58960801,0,0,0
2.61960801,0,0,0
2.64960801,0,0,0
2.67960801,0,0,0
2.70960801,0,0,0
2.73960801,0,0,0
2.76960801,0,0,0
2.79960801,0,0,0
2.82960801,0,0,0
2.85960801,0,0,0
2.88960801,0,0,0
2.91960801,0,0,0
2.94960801,0,0,0
2.97960801,0,0,0
3.00960801,0,0,0
3.03960801,0,0,0
3.06960801,0,0,0
3.09960801,0,0,0
3.12960801,0,0,0
3.15960801,0,0,0
3.18960801,0,0,0
3.21960801,0,0,0
3.24960801,0,0,0
3.27960801,0,0,0
3.30960801,0,0,0
3.33960801,0,0,0
3.36960801,0,0,0
3.39960801,0,0,0
3.42960801,0,0,0
3.45960801,0,0,0
3.48960801,0,0,0
3.51960801,0,0,0
3.54960801,0,0,0
3.57960801,0,0,0
3.60960801,0,0,0
3.63960801,0,0,0
3.66960801,0,0,0
3.69960801,0,0,0
3.72960801,0,0,0
3.75960801,0,0,0
3.78960801,0,0,0
3.81960801,0,0,0
3.84960801,0,0,0
3.87960801,0,0,0
3.90960801,0,0,0
3.93960801,0,0,0
3.96960801,0,0,0
3.99960801,0,0,0
4.02960801,0,0,0
4.05960801,0,0,0
4.08960801,0,0,0
4.11960801,0,0,0
4.16460801,0,0,0
4.20960801,0,0,0
4.25460801,0,0,0
4.28460801,0,0,0
4.32960801,0,0,0
4.37460801,0,0,0
4.41960801,0,0,0
4.46460801,0,0,0
4.49460801,0,0,0
4.53960801,0,0,0
4.58460801,0,0,0
4.62960801,0,0,0
4.67460801,0,0,0
4.70460801,0,0,0
4.74960801,0,0,0
4.79460801,0,0,0
4.83960801,0,0,0
4.86960801,0,0,0
4.91460801,0,0,0
4.95960801,0,0,0
4.999999990001,0,0,0
5.030104385317,0.0476314339493987,0.0178194516275397,9.5769484124654e-008
5.063828552427,0.0750835951129046,0.0191900482569952,-1.07638851481585e-008
5.094302197405,0.0888655569637788,0.0149325111198135,6.4738305398792e-008
5.12604557759,0.0976361146086221,0.00948335488936822,2.9616873900887e-007
5.157788957775,0.103169442438036,0.00458984572090525,6.45207339943315e-007
5.18953233796,0.106683833916237,0.00071383912739464,6.17175333815957e-007
5.220005982937,0.108769983804261,-0.00203248699576727,1.0766763640418e-006
5.254288833535,0.110054919605059,-0.00413149634097876,1.10925524926399e-006
5.288571684133,0.110540329416662,-0.00538931585010833,7.70466409004262e-007
5.322854534731,0.110468784235231,-0.00601059327690464,4.0684395498007e-007
5.357137385329,0.110020259534701,-0.00616969333214556,-3.2470927277742e-007
5.388951627635,0.109385654269313,-0.00602745313943136,-3.39844229108771e-006
5.420308157644,0.108636983069608,-0.00570347592923549,-1.9894614473466e-006
5.454464377833,0.107752037246572,-0.00522075457219175,-1.13943369379221e-006
5.489740474095,0.106819971878543,-0.00464652847814283,-8.6543185345025e-007
5.525961465793,0.105888815073391,-0.00403033602772057,-1.27714954114465e-006
5.556203406349,0.105154152635016,-0.0035230165740546,0.00023534408793972
5.588938835448,0.104416912013234,-0.00299928369284711,0.000167360726318919
5.619884669883,0.103781744104843,-0.00254104162406536,0.000118787163053697
5.655839365342,0.103123366204505,-0.00206106624717465,7.54118205551544e-005
5.693033877886,0.102532032194152,-0.001627490953293,3.89935783413234e-005
5.724029305006,0.10210607025024,-0.00131499750145848,1.45869591587258e-005
5.757985852251,0.101704381176682,-0.00102138462319162,-7.79618417027392e-006
5.788306570733,0.10139837602978,-0.000799343207557588,-2.043877037495e-005
5.822761932643,0.101104874481446,-0.000588786844344221,-3.05053965810971e-005
5.857561848173,0.100860245907652,-0.00041628000034823,-3.71149364406521e-005
5.896324130321,0.100640642206737,-0.000265182727176609,-3.7542970570567e-005
5.927818484566,0.100497259781221,-0.000169572050028512,-3.73813034308801e-005
5.958094753661,0.10038457109087,-9.71425213142082e-005,-4.99186678730949e-005
5.992045410373,0.100283074372768,-3.49543494898026e-005,-4.76639169232611e-005
6.027062792673,0.100201396244383,1.18278619130178e-005,-4.4366040765661e-005
6.061393559633,0.100139885370328,4.39058494641257e-005,-4.05157922669661e-005
6.091432980723,0.100098368458768,6.30253714846587e-005,-3.68684790154582e-005
6.126300165917,0.100061812927295,7.69852371860127e-005,-3.25075710883942e-005
6.166531533449,0.100031887498317,8.47432450372379e-005,-2.75262730769953e-005
6.206762900981,0.100011921444005,8.60824440899797e-005,-2.27886216917185e-005
6.246994268513,0.0999992655094794,8.30846627047341e-005,-1.84301244788605e-005
6.284543544875,0.0999922187905729,7.77907486778141e-005,-1.47694677450039e-005
6.320751775652,0.0999885224539626,7.13405381567922e-005,-1.16459324388426e-005
6.356960006429,0.0999869538162142,6.42331328030058e-005,-8.9272522803766e-006
6.393168237206,0.0999868232540604,5.69445315964649e-005,-6.60383360960077e-006
6.429376467983,0.0999876136533428,4.98116921942223e-005,-4.65459145453692e-006
6.46558469876,0.0999889435250361,4.30582563422871e-005,-3.05099092962215e-006
6.501792929537,0.099990538842903,3.68251467807673e-005,-1.75995419021603e-006
6.538001160314,0.099992210867896,3.11874854894732e-005,-7.45412898160869e-007
6.574209391091,0.0999938333442617,2.61720166990683e-005,2.85921402771654e-008
6.610417621868,0.0999953297791757,2.17774402373248e-005,5.98872629257142e-007
6.646625852645,0.0999966531356932,1.79740324941661e-005,9.96048620955781e-007
6.682834083422,0.099997786747993,1.47206870085076e-005,1.2536309153346e-006
6.719042314199,0.0999987282056933,1.19671960516707e-005,1.3975932936616e-006
6.755250544976,0.0999994858242511,9.65802210103558e-006,1.45216322998251e-006
6.791458775753,0.100000077240058,7.74051671318593e-006,1.43896010103946e-006
6.832028186012,0.100000566454286,5.99225084698764e-006,1.36569869354804e-006
6.872528186012,0.10000090076399,4.60316962030369e-006,1.25141456819718e-006
6.913028186012,0.100001109544671,3.50849470332649e-006,1.11254033389289e-006
6.953528186012,0.100001219592554,2.65447951548615e-006,9.61958174400172e-007
6.994028186012,0.100001255568063,1.995317809224e-006,8.09613547903776e-007
7.034528186012,0.100001236613704,1.49087896802911e-006,6.62599485032826e-007
7.075028186012,0.100001180112347,1.10941743361e-006,5.26138662730176e-007
7.115528186012,0.100001097239055,8.2231646885078e-007,4.02743224276241e-007
7.156028186012,0.100001000051091,6.08844661816782e-007,2.94056728402787e-007
7.196528186012,0.100000896586068,4.51893907839309e-007,2.00622983231481e-007
7.237028186012,0.100000792551785,3.37307968143934e-007,1.22072572115402e-007
7.277528186012,0.100000692044178,2.54546091779309e-007,5.76382045251591e-008
7.318028186012,0.100000597635415,1.94757930890144e-007,6.01728722716172e-009
7.358528186012,0.100000510993865,1.51615618095986e-007,-3.43109288811935e-008
7.399028186012,0.100000433765045,1.2067301859746e-007,-6.48507898017908e-008
7.439528186012,0.10000036511684,9.78026660518036e-008,-8.69805049203899e-008
7.480028186012,0.100000305428373,8.12256206020913e-008,-1.02091551894431e-007
7.520528186012,0.100000253810357,6.85006990611972e-008,-1.11710212502615e-007
7.561028186012,0.100000210214001,5.87815842459376e-008,-1.1660351633773e-007
7.601528186012,0.100000172528492,5.04250882645823e-008,-1.18259895387167e-007
7.642028186012,0.100000140999243,4.36982569326847e-008,-1.17386216395958e-007
7.682528186012,0.100000114602074,3.80439564910962e-008,-1.14784333245141e-007
7.723028186012,0.100000092985399,3.28173983393076e-008,-1.11264514224281e-007
7.763528186012,0.100000075366129,2.65747122329558e-008,-1.07114448118027e-007
